,Judul,Penulis,Dosen Pembimbing I,Dosen Pembimbing II,Abstrak
47,Analisis Peran Pesantren Dalam Pengembangan Insna Entrepreneur (Studi Kasus Pondok Pesantren Darul Hikmah kec. Burneh kab. Bangkalan), Afiyatus Sa'diyah," Dr. Abdur Rohman, S.Ag., M.E.I",,"ABSTRAK

Analisis Peran Pesantren Dalam Pengembangan Insna Entrepreneur (Studi Kasus Pondok Pesantren Darul Hikmah kec. Burneh kab. Bangkalan)

Kewirausahaan memiliki peran tersendiri dalam pembangunan ekonomi suatu Negara. Munculnya unit-unit usaha kecil hingga usaha besar diawali dengan jiwa kewirausahaan. Jiwa kewirausahaan tersebut  dapat ditanamkan melalui pembudayaan kewirausahaan. Pesantren merupakan salah satu lembaga yang memiliki potensi dalam upaya membangun budaya wirausaha. Potensi ini ditunjukkan karena pesantren merupakan lembaga pendidikan untuk mencetak manusia yang religius dan mandiri. Karakter ini sejalan dengan program kewirausahaan yang berada dalam pesantren. Penelitian ini dimaksudkan untuk menjawab permasalahan Bagaimana peran pesantren dalam pengembangan insan entrepreneur di PP. Darul Hikmah. Penelitian ini merupakan jenis penelitian kualitatif deskriptif. Sumber data primer dalam penelitian ini diperoleh melalui wawancara terhadap pengurus program kewirausahaan, santri yang mengikuti program kewirausahaan pesantren sedangkan sumber data sekunder diperoleh melalui dokumentasi. Hasil penelitian menunjukan bahwa peran pesantren dalam pengembangan insan entrepreneur  adalah menjadi lembaga pendidikan terhadap para santrinya dalam berbagai macam kegiatan yang dilakukan. Hal yang dilakukan berupa pengajaran formal di dalam kelas, pengajian serta kajian kitab kuning. Selanjutnya sebagai lembaga pelatihan yang menunjukan action dari apa yang dipelajarinya, seperti berorganisasi, mengelola produk, serta sistem pemasarannya. Serta peran pesantren sebagai fasilitator, centre of excellence, serta  agent of development dijalankan oleh pesantren untuk membentuk insan entrepreneur.

Kata Kunci: Kewirausahaan
"
48,PENGEMBANGAN DAN KARAKTERISASI HASIL ASSESSMENT INSTRUMEN esMOCA V3 METODE WISHA (Washington Industrial Safety and Health Act), Muhammad Asri Wahyu Dianto," Dr.Sabarudin Akhmad, S.T., M.T., IPM. Asean Eng","Anis Arendra S.T,. M.Eng","MSDs atau Musculoskeletal Disorders adalah gangguan cidera pada jaringan lunak tubuh seperti otot, tendon, ligament. Cidera tersebut juga sering terjadi pada bagian lengan dan punggung, cidera tersebut akan mengganggu pekerja dan apabila terjadi dalam waktu yang lama maka bisa menyebabkan kejadian yang fatal. Perlu dilakukan penilaian postur kerja supaya kejadian seperti MSDs tersebut bisa diatasi. Salah satu metode ergonomi yang dapat dipakai dalam penilaian postur kerja tersebut adalah metode WISHA (Washington Industrial Safety and Health Act). Penilaian postur kerja tersebut apabila dilakukan secara manual pasti terjadi perbedaan persepsi dan human error sehingga hasil penilaian akan kurang akurat. Menanggapi hal itu maka dilakukanlah pengembangan alat instrumen esMOCA V3 yang berfungsi untuk penilaian postur kerja yang dapat dilakukan secara otomatis. pengembangan instrumen terus dilakukan dari tahun ke tahun hingga saat ini dilakukan pengembangan pada bagian penambahan jumlah modul sensor dari 9 sensor menjadi 13 sensor dan penambahan metode penilaian yaitu WISHA. Sebelum instrumen digunakan maka perlu dilakukan kalibrasi alat dengan mengambil sudut Y atau Pitch dibandingkan dengan waterpass selanjutnya pengolahan data dilakukan dengan menggunakan paired sample t-test. Kalibrasi juga dilakukan pada metode WISHA dengan membandingkan data aktual dan hasil pengukuran dari panjang Horizontal dan Vertical. Didapatkan hasil bahwa masih terdapat perbedaan signifikan dari data aktual dengan data hasil pengukuran pada proses kalibrasi sudut Y dan pembandingan panjang Horizontal dan Vertikal.

Kata kunci: Instrumen esMOCA, MSDs, WISHA, Kalibrasi, Paired sample t-test."
49,Respon Pertumbuhan dan Hasil Tanaman Kolesom (Talinum triangulare (Jacq.) Willd atau Gingseng Jawa Akibat Saat dan Frekuensi Pemangkasan Pucuk, Merliana Dewi Astutik," Ir. Sinar Suryawati, M.Si","Dr. Agr. Eko Setiawan, S.P., M.Si","ABSTRAK

Tanaman Kolesom (Talinum triangulare (Jacq.) Willd) adalah jenis tanaman hortikultura dengan hasil panen berupa umbi dan pucuk yang berkhasiat obat dan sayuran. Pemanfaatan pucuk sebagai sayuran dilakukan dengan cara dipangkas, oleh karena itu perlu dilakukan penelitian untuk mempelajari akibat saat dan frekuensi pemangkasan pucuk terhadap pertumbuhan dan hasil tanaman kolesom. Penelitian ini dilakukan pada musim hujan dari bulan Desember 2019 - Maret 2020 di kebun percobaan Agroteknologi Universitas Trunojoyo Madura menggunakan paranet 65%. Rancangan penelitian menggunakan Rancangan Acak Kelompok dengan 6 taraf kombinasi perlakuan yaitu: pemangkasan saat 35 HST (U1F1), pemangkasan saat 35 dan 50 HST (U1F2), pemangkasan saat 45 HST (U2F1), pemangkasan saat 45 dan 60 HST (U2F2), pemangkasan saat 55 HST (U3F1), dan pemangkasan saat 55 dan 70 HST (U3F2). Data yang diperoleh dianalisis menggunakan analisis sidik ragam dan uji lanjut BNJD taraf 5%. Hasil penelitian menunjukkan bahwa perlakuan saat dan frekuensi pemangkasan pucuk tanaman kolesom berpengaruh nyata terhadap parameter total hasil pangkasan, jumlah dan berat kering cabang, panjang per cabang, jumlah dan berat basah pucuk 12 cm, jumlah pucuk 5 cm, berat basah dan berat kering bunga, serta berat basah dan berat kering batang. Perlakuan pemangkasan pada umur 55 HST (U3F1) mampu meningkatkan, jumlah umbi, jumlah dan bobot basah pucuk 12 cm, sedangkan perlakuan pemangkasan pada umur 55 dan 70 HST (U3F2) mampu meningkatkan jumlah pucuk 5 cm dan jumlah cabang yang lebih tinggi dibandingkan dengan perlakuan lainnya.

Kata kunci: Talinum triangulare (Jacq.) Willd, saat dan frekuensi pemangkasan pucuk"
50,"ANALISIS PARAMETER OSEANOGRAFI UNTUK KESESUAIAN LAHAN KERAMBA JARING APUNG (KJA) IKAN KERAPU DI PULAU GILI KETAPANG, PROBOLINGGO DENGAN MENGGUNAKAN DATA PENGINDERAAN JAUH", Terry Dwiarianto," Achmad Fahruddin Syah, S.Pi., M.Si., Ph.D",,"Pulau Gili Ketapang merupakan salah satu daerah pusat perikanan tangkap di Kabupaten Probolinggo. Daerah ini memiliki luas wilayah sekitar 68 hektar dengan jumlah penduduk 8.402 jiwa, dimana sebagian besar penduduknya berprofesi sebagai nelayan. Ikan kerapu merupakan komoditas perikanan yang diunggulkan di Indonesia dengan nilai ekonomis tinggi, memiliki harga mahal dan termasuk komoditas ekspor. Tujuan dari penelitian ini untuk mengetahui luasan laut yang cocok untuk digunakan atau dibangun sebuah keramba jaring apung untuk ikan kerapu di Pulau Gili Ketapang Probolinggo. Hasil penelitian menunjukkan luasan keramba jaring apung yang Sangat Sesuai (S1) 22%, Sesuai (S2) 52%, dan Tidak sesuai (N) 26%. Faktor yang menyebabkan adanya luasan KJA tergolong tidak sesuai maupun sesuai dengan habitat ikan kerapu macan dikarenakan kondisi luasan terumbu karang, kondisi oseanografi meliputi kecepatan arus, kedalaman perairan, suhu, salinitas, DO, kecerahan, pH,  dan ammoniak yang berbeda-beda di sepanjang perairan Gili Ketapang Probolinggo.

Kata kunci: KJA, Ikan Kerapu Macan, Parameter Oseanografi, Gili Ketapang.
"
51,KARAKTERISTIK KONDISI OSEANOGRAFI DAN DISTRIBUSI KAPAL LIGHT FISHING DENGAN MENGGUNAKAN DATA PENGINDERAAN JAUH DI LAUT JAWA, Alief Fajar Abdillah," Ach. Fachruddin Syah, S.Pi., M.Si., Ph.D",,"Laut Jawa (Wilayah Pengelolaan Perikanan/ WPP 712) termasuk dalam perairan yang sangat potensial dan merupakan habitat kelompok jenis ikan pelagis ekonomis penting di Indonesia dengan total estimasi potensi 981,680 ton/tahun. Target penangkapan ikan pada Laut Jawa adalah ikan pelagis. Penangkapan ikan pada Laut Jawa banyak dilakukan pada malam hari dengan bantuan cahaya lampu dan sasaran pada ikan yang berfototaksis positif. Tujuan penelitian ini menganalisa distribusi kapal light fishing, dan karakteristik parameter oseanografi terhadap kapal light fishing di perairan Laut Jawa. Penelitian menggunakan data posisi kapal light fishing berupa data harian VBD tahun 2016-2019, untuk parameter oseanografi yang digunakan Salinitas dan ssh diunduh di CMEMS, dan untuk suhu dan Klorofil-a diunduh di AQUA-Modis Level3. Hasil dari penelitian menunjukan distribusi yang paling banyak dideteksi pada musim timur dan yang terendah di musim barat. Kondisi parameter oseanografi pada Laut Jawa, suhu berkisar 27-34,5Â°C, Klorofil-a berkisar 0,1-5 mg/m3, Salinitas berkisar 30-34,6 PSU, dan SSH berkisar 0,44-0,77 meter. Hasil ekstraksi data posisi kapal dengan parameter oseanografi yang diindikasikan sebagai daerah light fishing dengan kondisi oseanografi suhu 28-31Â°C, klorofil-a berkisar 0,2-0,5 mg/m3, salinitas berkisar 32-33 PSU, dan tinggi muka air laut berkisar 0,5-0,65 m.

Kata Kunci : Laut Jawa, Light Fishing, Parameter Oseanografi
"
52,A STUDY OF METADISCOURSE MARKERS IN GRETA THUNBERG'S SPEECHES, sona kholifah," Dr. Rosyida Ekawati S.S., M.A.",-,"Penelitian ini bertujuan untuk membahas jenis tanda metadiscourse dan menjelaskan metadiscourse yang digunakan dalam pidato Thunberg. Penelitian ini menggunakan metode kualitatif untuk menjelaskan jenis dan fungsi tanda metadiscourse dalam pidato Greta Thunberg. Penelitian ini dimulai dengan menghitung data, mengurangi data, memberikan kode untuk setiap data, menjelaskan data dan menarik kesimpulan. Hasilnya menunjukkan bahwa ada dua kategori tanda metadiscourse dalam pidato Greta Thunberg; yaitu interactive metadiscourse dan interactional metadiscourse. Jenis interactive metadiscourse yang ditemukan dalam pidato Greta Thunberg adalah transition, frame marker, endophoric marker dan code gloss. Transition menjadi tanda tertinggi, karena transition adalah konjungsi yang berfungsi untuk menyambungkan dan menghubungkan antara argumen dengan argumen lain. Sementara itu, jenis interactional metadiscourse yang ditemukan dalam pidato Greta Thunberg adalah hedge, booster, attitude marker, engagement marker, dan self-mention marker. Dalam kategori interactional, engagement marker dan self-mention adalah yang dominan, karena engagement marker membantu Thunberg untuk membangun hubungan dengan pendengar dan memberi tekanan pada pendengan di dalam pidatonya, sementara ketika berbicara tentang pendapat dan untuk penekanan dirinya sebagai pembicara di dalam argumennya, Thunberg menggunakan self-metion marker.
Kata kunci: pidato, interactive, interactional, metadiscourse.
"
53,MEMAKNAI GAYA HIDUP PENIKMAT KOPI KHAS INDONESIA (Studi Fenomenologi di Kawasan Kampus Universitas Trunojoyo Madura ), Siti Maghfuro," Bangun Sentosa D.H, S.Sos.,Msi.,Ph.D ",,"Siti Maghfuro 160521100023 Program Studi Sosiologi, Fakultas Ilmu Sosial dan Ilmu Budaya, Universitas Trunojoyo Madura. Memaknai Gaya Hidup Penikmat Kopi Khas Indonesia (Studi Fenomenologi di Kawasan Kampus Universitas Trunojoyo Madura, Dosen Pembimbing Bangun Sentosa D.H, Ph.D.

Tujuan dari penelitian ini adalah untuk mengetahui apa saja gaya hidup yang muncul pada penikmat kopi khas Indonesia di kawasan Universitas Trunojoyo Madura serta untuk mengetahui bagaimana para penikmat kopi khas Indonesia memaknai gaya hidup yang selama ini mereka jalankan, seberapa pentingnya aktivitas menikmati kopi khas Indonesia sehingga mereka sulit bahkan cenderung tidak bisa meninggalkan kebiasaan tersebut. Subyek penelitian ini adalah penikmat kopi khas Indonesia yang menikmati kopi khas Indonesia dengan rentang waktu yang relatif sering minimal 5 kali dalam seminggu. Secara Teoritis penelitian ini mampu menjelaskan fenomena sosial yang berada dilapangan agar bermanfaat bagi pengembangan ilmu pengetahuan khususnya terkait penerapan teori-teori Sosiologi, sedangkan secara praktis agar menjadi sumber referensi bagi penelitian selanjutnya. Metode penelitian yang digunakan dalam penelitian ini adalah Penelitian Kualitatif dengan pendekatan Fenomenologi, menggunakan  metode Observasi terus terang, wawancara semi terstruktur, dan dokumentasi. Teknik penentuan informan dilakukan dengan teknik purposive sampling, jenis data yang digunaan adalah data primer dan sekunder. Menggunakan teknik pemeriksaan keabsahan data model Miles dan Huberman dan teknik pemeriksaan keabsahan data dengan Triangulasi sumber. Dalam penelitian ini menggunakan Teori Fenomenologi karya Edmund Gustav Albercht Husserl.

Hasil dari penelitian ini adalah bahwa gaya hidup penikmat kopi khas Indonesia adalah pilihan sadar yang merupakan bagian dari minat, selera, dan opini mereka. Kebiasaan menikmati kopi khas Indonesia yang mereka lakukan pertama kali dilakukan sejak SMA/SMK yang dipengaruhi oleh teman sebaya dan ada juga yang dipengaruhi orang tua. Penikmat kopi khas Indonesia hampir setiap hari menikmati kopi lokal bahkan seolah mewajibkan jatah kopi lokal setiap harinya, dengan ngopi antara 1-3 kali dan rentang waktu 1 hingga 10 jam hanya untuk menikmati kopi khas Indonesia. Berbagai pandangan baik positif maupun negatif mereka dapatkan dari masyarakat sekitar, namun tidak mengurangi minat tersebut, Bagi penikmat kopi lokal, ngopi tidak hanya sekedar penghilang haus dan kantuk, namun lebih dari itu, dengan menikati kopi khas Indonesia menjadikan mereka lebih fresh, mendapatkan kesan kebersamaan bersama teman-teman, dan ketika mereka tidak menikmati kopi khas Indonesia mereka merasa pusing, ada yang kurang dan kenikmatan menikmati kopi lokal tidak bisa digantikan dengan kegiatan lainnya.

Kata Kunci: Makna, Gaya Hidup, Penikmat, Kopi khas Indonesia
"
54,Pengaruh Pemberian Pupuk Kandang Sapi Terhadap Pertumbuhan dan Kandungan Serat Pangan Daun Tanaman Kolesom (Talinum triangulare (Jacq) Willd.), Mar'atus Sholihah," Ir. Sinar Suryawati,M.Si","Dr. Agr. Eko Setiawan, S.P., M. Si","Penelitian ini bertujuan mengetahui pengaruh pemberian berbagai dosis pupuk kandang sapi terhadap pertumbuhan dan kandungan serat pangan daun tanaman kolesom (Talinum triangulare (Jacq) Willd). Dilaksanakan di kebun percobaan Agroteknologi Universitas Trunojoyo Madura dari bulan Desember 2019 sampai Maret 2020 di musim penghujan. Rancangan penelitian yang digunakan adalah rancangan acak kelompok dengan 6 perlakuan, yaitu K0 = 0, K1 = 55, K2 = 218, K3 = 380, K4 = 543 dan K5 = 705 ton/ha pupuk kandang sapi. Hasil penelitian menunjukkan bahwa perlakuan pemberian pupuk kandang sapi berpengaruh nyata terhadap tinggi tanaman, jumlah daun, jumlah cabang, jumlah akar dan umbi, luas daun, bobot basah tanaman, bobot kering tanaman, dan kandungan serat pangan daun tanaman kolesom. Pemberian pupuk kandang sapi sebesar 543 ton/ha menghasilkan pertumbuhan terbaik dan kandungan serat tertinggi dibandingkan dengan perlakuan lainnya."
55,Makna Ziarah Makam Mbah  Boyopatih (Studi Kasus bagi Masyarakat Desa Medang Kecamatan Glagah Kabupaten Lamongan), Yuli Wedayanti," Sentosa D.H, S.Sos., MSi., Ph.D.",,"YULI WEDAYANTI, NIM. 160521100003, Program Studi Sosiologi, Fakultas Ilmu Sosial dan Ilmu Budaya, Universitas Trunojoyo Madura. Skripsi ini tentang Makna Ziarah Makam Mbah  Boyopatih (Studi Kasus bagi Masyarakat Desa Medang Kecamatan Glagah Kabupaten Lamongan), dibawah bimbingan Bangun Sentosa D.H, S.Sos., MSi., Ph.D.
Abstrak- Ziarah makam adalah tradisi yang dilakukan oleh masyarakat Desa Medang Kecamatan Glagah Kabupaten Lamongan. Ziarah makam bertujuan untuk memotivasi diri dalam mencari berkah seorang wali Allah yaitu Mbah Boyopatih, dan memiliki berbagai tujuan yaitu dari segi kesehatan, ekonomi, dan social. Ziarah makam sampai sekarang bertahan sebagai tradisi yang dilakukan oleh masyarakat Desa Medang setiap hari Jumâat Pon. Penelitian ini difokuskan untuk mengetahui dan mendiskripsikan tujuan, serta proses pelaksanaan dan  makna ziarah makam Mbah Boyopatih, yang mencerminkan karakter, jati diri,dan  kebiasaan dalam kehidupan masyarakat Desa Medang. Penelitian ini menggunakan metode kualitatif dengan pendekatan studi kasus dan menggunkan teori interaksionisme simbolik (George Herbert Mead). Teknik pengmpulan data melalui observasi, wawancara, dan dokumentasi. Setiap tahapan dalam ziarah makam melambangkan simbol yang mengandung makna. Dengan cara demikian, masyarakat yang berziarah mempercayai akan mendampatkan dampak positif yang berlangsung dalam kehidupannya. 
Kata kunci: Kabupaten Lamongan, makna ziarah makam, sejarah Mbah Boyopatih.
"
56,peran Guru Dalam Menanamkan NIlai-Nilai Kearifan Lokal di Sekolah Dasar (Studi Kasus Pelestarian Kebudayaan Batik Di SDN Tanjung Bumi 1), Leni Marlinda," mahmud, S.IP.,M.Si.","Agung Setyawan, S.Pd.,M.Pd.","Abstrak
Peran guru dalam melestarikan kebudayaan yang terdapat  di masyarakat sangat penting, karena guru memiliki perana yang penting ditengah-tengah masyarakat. Peranan guru dalam kehidupan masyarakat sangat dibutuhkan untuk memberikan pencerahan dan kemajuan pola kehidupan masyarakat. Kebudayaan batik merupakan kebudayaan yang terdapat di desa Tanjung Bumi yang diperoleh masyarakat dari hasil belajar dan diajarkan secara terus menerus kepada generasi muda. 
Tujuan dalam penilitan ini adalah Mendeskripsikan  peran guru dalam melestarikan kebudayaan batik di UPTD SDN Tanjung Bumi 1. Penelitian ini menggunakan penelitian kualitatif deskriptif. Subjek penelitian adalah guru yang mengajar batik dan siswa yang dipilih secara purposive sampling. Teknik pngumpulan data menggunakan teknik wawancara, observasi dan dokumentasi. 
Hasil penelitian yang diperoleh (1) Guru melakukan pelestarian kebudayaan batik dengan cara mengajarkan batik kepada siswa di sekolah. Dalam mengajarkan batik guru mengajarkan dasarnya saja. (2) Guru membimbing atau mendampingi siswa yang mengalami kesulitan dalam kegiatan batik. (3) Guru menyediakan media secara konkret dalam kegiatan batik dan guru menyediakan kebutuhan siswa dalam kegiatan membatik. (4) Dalam kegiatan batik ini belum memiliki ruang sendiri, sehingga untuk sementara menggunakan ruang kelas. (5) Guru melakukan penilaian pada akhir kegiatan batik. 
Kata kunci : Peran guru, Pelestarian kebudayaan batik 
"
